order_number,northbeam_platform,source,order_time,event_time,attribution_days,total_tp,tp_seq
2389112,Klaviyo,utm medium - email,2024-01-26 14:00:19+00:00,2024-01-22 14:01:42.034000+00:00,3,3,1
2389112,Klaviyo,utm medium - email,2024-01-26 14:00:19+00:00,2024-01-26 13:10:17.807000+00:00,0,3,2
2389112,Unattributed,unattributed,2024-01-26 14:00:19+00:00,2024-01-26 14:00:19+00:00,0,3,3
2389136,Google Ads,adwords,2024-01-26 14:11:42+00:00,2024-01-18 23:33:36.217000+00:00,7,4,1
2389136,Facebook Ads,fb,2024-01-26 14:11:42+00:00,2024-01-18 23:51:55.559000+00:00,7,4,2
2389136,Google Ads,adwords,2024-01-26 14:11:42+00:00,2024-01-26 01:10:43.986000+00:00,0,4,3
2389136,Unattributed,unattributed,2024-01-26 14:11:42+00:00,2024-01-26 14:11:42+00:00,0,4,4
2389157,MNTN,mntn,2024-01-26 14:20:43+00:00,2024-01-15 02:28:24.283000+00:00,11,9,1
2389157,Facebook Ads,utm medium -,2024-01-26 14:20:43+00:00,2024-01-20 16:34:37.734000+00:00,5,9,2
2389157,Facebook Ads,fb,2024-01-26 14:20:43+00:00,2024-01-21 02:32:54.637000+00:00,5,9,3
2389157,MNTN,mntn,2024-01-26 14:20:43+00:00,2024-01-21 15:57:48.835000+00:00,4,9,4
2389157,Google Ads,adwords,2024-01-26 14:20:43+00:00,2024-01-24 23:46:00.725000+00:00,1,9,5
2389157,Facebook Ads,fb,2024-01-26 14:20:43+00:00,2024-01-25 02:06:10.084000+00:00,1,9,6
2389157,MNTN,mntn,2024-01-26 14:20:43+00:00,2024-01-25 02:20:38.135000+00:00,1,9,7
2389157,Klaviyo,utm medium - email,2024-01-26 14:20:43+00:00,2024-01-26 13:10:07.435000+00:00,0,9,8
2389157,Unattributed,unattributed,2024-01-26 14:20:43+00:00,2024-01-26 14:20:43+00:00,0,9,9
2389180,Unattributed,unattributed,2024-01-26 14:31:54+00:00,2024-01-26 14:31:54+00:00,0,1,1
2389190,Google Ads,adwords,2024-01-26 14:37:31+00:00,2024-01-26 02:03:16.574000+00:00,0,3,1
2389190,Google Ads,adwords,2024-01-26 14:37:31+00:00,2024-01-26 14:16:35.256000+00:00,0,3,2
2389190,Unattributed,unattributed,2024-01-26 14:37:31+00:00,2024-01-26 14:37:31+00:00,0,3,3
2389208,Facebook Ads,fb,2024-01-26 14:42:11+00:00,2024-01-26 14:38:35.563000+00:00,0,2,1
2389208,Unattributed,unattributed,2024-01-26 14:42:11+00:00,2024-01-26 14:42:11+00:00,0,2,2
